position_name,position_idx,layer,feature_id,feature_type,activation_value,steering_scale,move,prob_diff,original_prob,modified_prob,fen
pos_55,55,0,11076,transcoder,1.2524975538253784,-2.0,h3h7,-0.9126903854776174,0.9164886474609375,0.003798261983320117,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,0,2952,lorsa,2.74106764793396,-2.0,h3h7,-0.9119922094978392,0.9164886474609375,0.004496437963098288,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,0,11059,lorsa,4.140970706939697,-2.0,h3h7,-0.9110937602818012,0.9164886474609375,0.005394887179136276,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_19,19,1,9035,transcoder,1.2929047346115112,-2.0,h3h7,-0.9107537032105029,0.9164886474609375,0.005734944250434637,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,0,5593,transcoder,1.5292519330978394,-2.0,h3h7,-0.9105793093331158,0.9164886474609375,0.005909338127821684,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_19,19,0,4675,transcoder,1.2117946147918701,-2.0,h3h7,-0.9102906752377748,0.9164886474609375,0.006197972223162651,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_19,19,0,10079,lorsa,4.071903228759766,-2.0,h3h7,-0.9101160010322928,0.9164886474609375,0.006372646428644657,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_19,19,2,15512,transcoder,0.6853092312812805,-2.0,h3h7,-0.9050593161955476,0.9164886474609375,0.01142933126538992,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,2,12759,transcoder,0.6949848532676697,-2.0,h3h7,-0.9048855379223824,0.9164886474609375,0.011603109538555145,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_19,19,4,8194,transcoder,1.3856878280639648,-2.0,h3h7,-0.8939612824469805,0.9164886474609375,0.022527365013957024,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_19,19,6,2562,transcoder,1.6155141592025757,-2.0,h3h7,-0.8935982156544924,0.9164886474609375,0.022890431806445122,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,6,6679,transcoder,0.9387063980102539,-2.0,h3h7,-0.8879271801561117,0.9164886474609375,0.028561467304825783,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,0,12046,lorsa,3.1549324989318848,-2.0,h3h7,-0.8867537975311279,0.9164886474609375,0.02973484992980957,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,14,138,transcoder,6.915294170379639,-2.0,h3h7,-0.8838477842509747,0.9164886474609375,0.032640863209962845,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,4,2320,transcoder,4.322571277618408,-2.0,h3h7,-0.8832214958965778,0.9164886474609375,0.033267151564359665,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_19,19,3,3024,transcoder,1.102023720741272,-2.0,h3h7,-0.8801782168447971,0.9164886474609375,0.036310430616140366,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,0,8135,transcoder,1.4795358180999756,-2.0,h3h7,-0.8795145228505135,0.9164886474609375,0.03697412461042404,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,1,1321,transcoder,0.9603546857833862,-2.0,h3h7,-0.8672641478478909,0.9164886474609375,0.049224499613046646,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,14,5634,transcoder,2.6467764377593994,-2.0,h3h7,-0.8638177514076233,0.9164886474609375,0.05267089605331421,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_19,19,3,2651,lorsa,2.8926243782043457,-2.0,h3h7,-0.8599003069102764,0.9164886474609375,0.05658834055066109,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,2,13354,transcoder,0.9692530632019043,-2.0,h3h7,-0.8488807305693626,0.9164886474609375,0.06760791689157486,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,3,15009,transcoder,0.7732203602790833,-2.0,h3h7,-0.8282132893800735,0.9164886474609375,0.08827535808086395,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,7,14452,transcoder,4.763481616973877,-2.0,h3h7,-0.8120095580816269,0.9164886474609375,0.10447908937931061,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,6,4099,transcoder,2.094484567642212,-2.0,h3h7,-0.7878649532794952,0.9164886474609375,0.12862369418144226,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,2,7624,lorsa,3.946803331375122,-2.0,h3h7,-0.7828432023525238,0.9164886474609375,0.1336454451084137,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,4,3675,transcoder,0.6156646609306335,-2.0,h3h7,-0.7424860447645187,0.9164886474609375,0.17400260269641876,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_63,63,2,14106,transcoder,1.301774263381958,-2.0,h3h7,-0.7270440459251404,0.9164886474609375,0.18944460153579712,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_51,51,0,2952,transcoder,1.7456032037734985,-2.0,h3h7,-0.7234565168619156,0.9164886474609375,0.1930321305990219,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_63,63,1,15260,transcoder,1.3775041103363037,-2.0,h3h7,-0.7221152931451797,0.9164886474609375,0.19437335431575775,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_51,51,0,13740,lorsa,3.7085108757019043,-2.0,h3h7,-0.708775669336319,0.9164886474609375,0.20771297812461853,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_51,51,1,11215,lorsa,5.964420318603516,-2.0,h3h7,-0.6941169649362564,0.9164886474609375,0.2223716825246811,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_51,51,1,11331,transcoder,0.8082765340805054,-2.0,h3h7,-0.6684954017400742,0.9164886474609375,0.24799324572086334,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,7,7600,transcoder,1.5678061246871948,-2.0,h3h7,-0.664312332868576,0.9164886474609375,0.25217631459236145,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_51,51,1,11218,transcoder,0.6418614387512207,-2.0,h3h7,-0.6604666411876678,0.9164886474609375,0.25602200627326965,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,8,12466,lorsa,6.701469421386719,-2.0,h3h7,-0.6376409232616425,0.9164886474609375,0.27884772419929504,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,0,7176,lorsa,4.344598293304443,-2.0,h3h7,-0.6180608868598938,0.9164886474609375,0.2984277606010437,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_63,63,5,12930,transcoder,2.5287396907806396,-2.0,h3h7,-0.6014361381530762,0.9164886474609375,0.31505250930786133,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_53,53,0,6981,lorsa,3.0194005966186523,-2.0,h3h7,-0.5792976319789886,0.9164886474609375,0.33719101548194885,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,1,780,lorsa,1.3625984191894531,-2.0,h3h7,-0.5741715133190155,0.9164886474609375,0.342317134141922,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_53,53,0,488,transcoder,1.5354541540145874,-2.0,h3h7,-0.5409097671508789,0.9164886474609375,0.3755788803100586,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,2,11401,lorsa,2.2997243404388428,-2.0,h3h7,-0.5361576676368713,0.9164886474609375,0.38033097982406616,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_63,63,0,7285,lorsa,3.7649195194244385,-2.0,h3h7,-0.5255148112773895,0.9164886474609375,0.390973836183548,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,1,1377,transcoder,0.5149338841438293,-2.0,h3h7,-0.512583315372467,0.9164886474609375,0.40390533208847046,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_63,63,7,3804,transcoder,1.3986529111862183,-2.0,h3h7,-0.49518656730651855,0.9164886474609375,0.42130208015441895,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,0,2549,transcoder,0.5326132774353027,-2.0,h3h7,-0.47691819071769714,0.9164886474609375,0.43957045674324036,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,14,11103,transcoder,0.670269787311554,-2.0,h3h7,-0.4698818624019623,0.9164886474609375,0.4466067850589752,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_1,1,10,10273,transcoder,21.85167694091797,-2.0,h3h7,-0.4622189402580261,0.9164886474609375,0.4542697072029114,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,1,9400,transcoder,0.8935899138450623,-2.0,h3h7,-0.45955973863601685,0.9164886474609375,0.45692890882492065,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_62,62,0,488,transcoder,1.3552452325820923,-2.0,h3h7,-0.4320341944694519,0.9164886474609375,0.4844544529914856,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_62,62,0,6922,lorsa,3.0256900787353516,-2.0,h3h7,-0.4224986732006073,0.9164886474609375,0.4939899742603302,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,8,9586,lorsa,2.7212605476379395,-2.0,h3h7,-0.41246509552001953,0.9164886474609375,0.504023551940918,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_63,63,9,13165,transcoder,2.2795591354370117,-2.0,h3h7,-0.41017675399780273,0.9164886474609375,0.5063118934631348,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_63,63,0,4905,transcoder,1.5160709619522095,-2.0,h3h7,-0.4073163866996765,0.9164886474609375,0.509172260761261,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,1,9142,lorsa,3.3273990154266357,-2.0,h3h7,-0.3697317838668823,0.9164886474609375,0.5467568635940552,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,0,5493,lorsa,1.3387057781219482,-2.0,h3h7,-0.36715662479400635,0.9164886474609375,0.5493320226669312,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,14,16044,lorsa,4.964409828186035,-2.0,h3h7,-0.36385905742645264,0.9164886474609375,0.5526295900344849,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_50,50,0,5593,transcoder,1.7483408451080322,-2.0,h3h7,-0.3626629114151001,0.9164886474609375,0.5538257360458374,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,12,15674,transcoder,0.6852042078971863,-2.0,h3h7,-0.35781586170196533,0.9164886474609375,0.5586727857589722,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,13,12356,transcoder,3.6047909259796143,-2.0,h3h7,-0.34769755601882935,0.9164886474609375,0.5687910914421082,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,1,1816,transcoder,0.9959800839424133,-2.0,h3h7,-0.3265269994735718,0.9164886474609375,0.5899616479873657,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,0,15755,lorsa,3.0460145473480225,-2.0,h3h7,-0.3240033984184265,0.9164886474609375,0.592485249042511,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,11,11974,transcoder,3.6281239986419678,-2.0,h3h7,-0.32027459144592285,0.9164886474609375,0.5962140560150146,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,0,7083,lorsa,2.4571409225463867,-2.0,h3h7,-0.30154502391815186,0.9164886474609375,0.6149436235427856,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,0,11720,transcoder,0.5434053540229797,-2.0,h3h7,-0.29555875062942505,0.9164886474609375,0.6209298968315125,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,13,142,transcoder,0.9766605496406555,-2.0,h3h7,-0.2903067469596863,0.9164886474609375,0.6261819005012512,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_63,63,10,3332,transcoder,2.3363890647888184,-2.0,h3h7,-0.284232497215271,0.9164886474609375,0.6322561502456665,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_63,63,8,2167,transcoder,2.128699779510498,-2.0,h3h7,-0.2705955505371094,0.9164886474609375,0.6458930969238281,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,3,12235,lorsa,2.774761915206909,-2.0,h3h7,-0.2672255039215088,0.9164886474609375,0.6492631435394287,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,2,4901,transcoder,1.2577348947525024,-2.0,h3h7,-0.24685078859329224,0.9164886474609375,0.6696378588676453,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_50,50,0,11059,lorsa,4.0403733253479,-2.0,h3h7,-0.2467615008354187,0.9164886474609375,0.6697271466255188,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_62,62,3,11384,lorsa,8.447432518005371,-2.0,h3h7,-0.23587101697921753,0.9164886474609375,0.68061763048172,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,6,7034,transcoder,0.756768524646759,-2.0,h3h7,-0.23384028673171997,0.9164886474609375,0.6826483607292175,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,0,10079,lorsa,3.793959856033325,-2.0,h3h7,-0.23372149467468262,0.9164886474609375,0.6827671527862549,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,0,2905,transcoder,0.480506032705307,-2.0,h3h7,-0.2275792956352234,0.9164886474609375,0.6889093518257141,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_2,2,8,11854,transcoder,14.41513729095459,-2.0,h3h7,-0.17679661512374878,0.9164886474609375,0.7396920323371887,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_62,62,5,13852,transcoder,2.238670587539673,-2.0,h3h7,-0.16998505592346191,0.9164886474609375,0.7465035915374756,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,2,12879,lorsa,2.4923837184906006,-2.0,h3h7,-0.16838401556015015,0.9164886474609375,0.7481046319007874,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_6,6,3,1991,transcoder,1.1155537366867065,-2.0,h3h7,-0.16668850183486938,0.9164886474609375,0.7498001456260681,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_6,6,7,9159,transcoder,3.481471538543701,-2.0,h3h7,-0.16148948669433594,0.9164886474609375,0.7549991607666016,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,14,138,transcoder,5.296043872833252,-2.0,h3h7,-0.15298151969909668,0.9164886474609375,0.7635071277618408,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,3,11167,transcoder,0.4699705243110657,-2.0,h3h7,-0.1478341817855835,0.9164886474609375,0.768654465675354,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,8,2551,lorsa,3.007384777069092,-2.0,h3h7,-0.14275753498077393,0.9164886474609375,0.7737311124801636,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,0,12254,transcoder,0.45756447315216064,-2.0,h3h7,-0.13534396886825562,0.9164886474609375,0.7811446785926819,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_54,54,4,3019,transcoder,0.5467835068702698,-2.0,h3h7,-0.1335352063179016,0.9164886474609375,0.7829534411430359,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,4,2320,transcoder,2.9409401416778564,-2.0,h3h7,-0.13148713111877441,0.9164886474609375,0.7850015163421631,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_63,63,6,3789,transcoder,2.0119314193725586,-2.0,h3h7,-0.1281876564025879,0.9164886474609375,0.7883009910583496,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,14,1214,transcoder,1.1017082929611206,-2.0,h3h7,-0.12497234344482422,0.9164886474609375,0.7915163040161133,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_50,50,0,2952,lorsa,2.6998138427734375,-2.0,h3h7,-0.11849850416183472,0.9164886474609375,0.7979901432991028,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_62,62,6,3210,transcoder,2.6209557056427,-2.0,h3h7,-0.11544573307037354,0.9164886474609375,0.801042914390564,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_8,8,10,10273,transcoder,21.71694564819336,-2.0,h3h7,-0.11478245258331299,0.9164886474609375,0.8017061948776245,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_50,50,1,7268,transcoder,0.9366815686225891,-2.0,h3h7,-0.11107116937637329,0.9164886474609375,0.8054174780845642,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_19,19,7,10549,transcoder,2.1346278190612793,-2.0,h3h7,-0.1109805703163147,0.9164886474609375,0.8055080771446228,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,14,6541,lorsa,9.295353889465332,-2.0,h3h7,-0.10872280597686768,0.9164886474609375,0.8077658414840698,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_6,6,6,7291,transcoder,2.1271281242370605,-2.0,h3h7,-0.1086929440498352,0.9164886474609375,0.8077957034111023,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_23,23,14,10814,transcoder,1.2539560794830322,-2.0,h3h7,-0.10813575983047485,0.9164886474609375,0.8083528876304626,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_19,19,13,1044,transcoder,1.1209732294082642,-2.0,h3h7,-0.1026155948638916,0.9164886474609375,0.8138730525970459,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_55,55,12,9544,transcoder,0.3484746515750885,-2.0,h3h7,-0.101593017578125,0.9164886474609375,0.8148956298828125,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_6,6,1,13953,transcoder,1.4638413190841675,-2.0,h3h7,-0.09920090436935425,0.9164886474609375,0.8172877430915833,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
pos_6,6,4,2640,transcoder,0.95345139503479,-2.0,h3h7,-0.09599030017852783,0.9164886474609375,0.8204983472824097,6rk/2nq1rnp/p4P2/1p1p4/P1p5/3B3Q/1PP4P/3R1RK1 w - - 0 29
